Title,Plot
The Ballad of Cable Hogue,"Cable Hogue is isolated in the desert, awaiting his partners, Taggart and Bowen, who are scouting for water. The two plot to seize what little water remains to save themselves. Cable, who hesitates to defend himself, is disarmed and abandoned to almost certain death.
Confronted with sandstorms and other desert elements, Cable bargains with God. Four days later, about to perish, he stumbles upon a muddy pit. He digs and discovers an abundant supply of water.
After discovering that his well is the only source of water between two towns on a stagecoach route, he decides to live there and build a business. Cable's first paying customer is the Rev. Joshua Duncan Sloane, a wandering minister of a church of his own revelation. Joshua doubts the legitimacy of Cable's claim to the spring, prompting Cable to race into town to file at the land office.
Cable faces the mockery of everyone he tells about his discovery. That does not deter him from buying 2 acres (0.8 ha) surrounding his spring. He immediately goes to the stage office to drum up business but is thrown out by the skeptical owner. He pitches his business plan to a bank president, who is dubious about the claim. Cable impresses the banker with his attitude and he is staked to $100.
Cable, who hasn’t bathed since his desert wanderings, decides to treat himself to a night with Hildy, a prostitute in the town saloon. They quickly develop a jovial understanding but before they can consummate the transaction, Cable remembers that he has still not set up his boundary markers and rushes out, much to Hildy's chagrin. She chases him out of the saloon in a sequence that wreaks havoc on the town.
Back at the spring, Cable and Joshua get to work, dubbing the claim Cable Springs. The two decide to go into town and are drunk by the time they arrive. Cable makes up with Hildy and spends the night with her, leaving Joshua to pursue his passion: the seduction of emotionally vulnerable women.
Cable and Joshua continue to run the robust business, delighting in shocking the often genteel travelers with the realities of frontier life. In moments of solitude, Cable and Joshua philosophize on the nature of love and the passing of their era. Joshua decides that he must return to town. Hildy arrives at Cable Springs having been ""asked"" to leave by the modernizing townfolk, who can no longer abide open prostitution in their midst. She tells Cable that she will leave for San Francisco in the morning but winds up staying with him for three weeks. This time elapses during a tender, romantic montage.
Then one day, Taggart and Bowen arrive on the stagecoach. Cable lets them believe that he bears them no ill will, and he alludes to a huge stash of cash that he has hoarded, knowing that the two men will return to steal it. When they do, Cable outwits them, by throwing rattlesnakes into the pit they have dug. When they surrender, he orders them to strip to their underwear to venture into the desert, just as he had been forced to do. Taggart, believing Cable will once again hesitate to defend himself, reaches for his gun but Hogue shoots him dead.
A motor car appears, driving right past Cable Springs with no need or interest in stopping for water. The drivers laugh at the archaic scene of western violence as they race past. ""Drove right by,"" says Cable in amazement. ""Well, that's gonna be the next fella's worry.""
Cable takes mercy on the grovelling Bowen. He even gives him Cable Springs, having decided to go to San Francisco to find Hildy. The stagecoach arrives and Cable gets ready to pack up when suddenly another motorcar [2] appears. This one does stop and Hildy emerges, opulently dressed. She has become prosperous and, now on her way to New Orleans, has come to see if Cable is ready to join her. He agrees but while he loads the motorcar he accidentally trips its brake. The car runs over him as he pushes Bowen out of the way.
Joshua, who arrives by a black motorcycle with a sidecar, gives a eulogy for Cable as he dies. This segues into a funeral with the cast standing mournfully over Cable's grave. They are grieving not only the death of the man but the era he represents. The stagecoach and motorcar drive off in opposite directions. A coyote wanders into the abandoned Cable Springs. But the coyote has a collar – possibly symbolising the taming of the wilderness."
Monsters vs. Aliens,"In the far reaches of space, a planet explodes sending a strange meteorite across the galaxy, heading towards Earth. Meanwhile, Susan Murphy of Modesto, California is going to be married to news weatherman Derek Dietl. Just before the ceremony, she is hit by the meteorite and its energy causes her to glow green and grow to enormous size. She is tranquilized by the military and awakens in a top secret government facility that houses monsters of which the public are ignorant. She meets General W.R. Monger, the Army officer in charge of the facility, and her fellow monster inmates: Dr. Cockroach PhD, a mad scientist who became half-human, half-cockroach after an experiment; B.O.B. (Benzoate Ostylezene Bicarbonate), a brainless, living mass of goo as a result of a food flavoring mutation; Insectosaurus, a massive mutated bug standing 350 feet in height, and the Missing Link, a prehistoric fish-ape hybrid who was thawed from deep ice. Susan herself has been renamed to Ginormica.
In a mysterious spaceship in deep space, an alien overlord named Gallaxhar is alerted to the presence of quantonium, a powerful energy source on Earth, and he sends a robotic probe to retrieve it. The probe later lands on Earth where the President of the United States attempts to make first contact with it. However, the attempt fails and the probe goes on a destructive rampage, headed straight for San Francisco. Monger convinces the President to grant the monsters their freedom if they can stop the probe. In San Francisco, the robot detects the quantonium radiating through Susan's body and tries to take it from her, putting many lives at risk. At the Golden Gate Bridge, the monsters work together to defeat the probe.
Gallaxhar sets course for Earth to obtain the quantonium in person while the now-free Susan returns home with her new friends and reunites with her family. However, the monsters alienate themselves from the humans due to their inexperience with social situations. Derek breaks off his engagement with Susan, claiming that he cannot marry someone who would overshadow him and his career. Heartbroken, the monsters reunite, but Susan realizes that her life is better as a monster and promises not to sell herself short to anyone again. Suddenly, Susan is pulled into Gallaxhar's spaceship. Insectosaurus tries to save her, but he is shot down by the ship's plasma cannons, seemingly killing him.
On board the ship, Gallaxhar extracts the quantonium from Susan, shrinking her back to her normal size. Gallaxhar then uses the extracted quantonium to create clones of himself in order to launch a full-scale invasion of Earth. Monger manages to the monsters on board the ship. They rescue Susan and make their way to the main power core where Dr. Cockroach sets the ship to self-destruct to prevent the invasion. All but Susan are trapped as the blast doors close and she personally confronts Gallaxhar on the bridge. With her time running out, she sends the ball of stored quantonium down on herself, restoring her monstrous size and strength. After rescuing her friends, they flee the ship and meet with Monger and Insectosaurus, who has morphed into a butterfly. The ship self-destructs, killing Gallaxhar and his army.
Returning to Modesto, Susan and the monsters receive a hero's welcome. Hoping to take advantage of Susan's fame for his own career, Derek tries to get back together with her, but she rejects him. Monger then arrives to tell the monsters about a new monstrous snail called Escargantua making its way to Paris. The monsters take off to confront the new menace."
The Bandit Queen,"Zarra Montalvo is the daughter of an American father and Spanish mother, Don Jose (Victor Kilian) and Zara Montalvo (Cecil Weston, credited as Cecile Weston). The Montalvo family possesses land rights or Spanish land grants to a hacienda with gold mines present. Abroad, Zarra comes home to California and witnesses her parents being murdered by Hank (John Merton) and an unknown man, Sheriff Jim Harden (Barton MacLane). Zarra initially approaches Harden about the crimes but eventually recognizes him as part of the murderers' gang. She joins forces with Joaquin Murietta (Phillip Reed) to regain her rightful inheritance, and together they assume secret identities, with Zarra hidden behind the alias of a Zorro-like character named ""Lola Belmont"" and Murietta as ""Carlos del Rio"".
Dan Hinsdale (Willard Parker), an attorney, later informs Zarra about his purchase of her family's rancho at a reduced fee because of back taxes owed by Zarra's parents. Zarra seeks the aid of Father Antonio (Martin Garralaga), who along with Murietta is one of the few people to know their dual identities. Father Antonio warns her that her outlaw gang is wanted by the Spanish authority and its soldiers. Upon learning this, ""Belmont"" and ""del Rio"" secretly work to regain stolen gold and ""land rights"" on the behalf of other neighboring rancheros."
Broken Arrow,"Major Vic Deakins (John Travolta) and Captain Riley Hale (Christian Slater), pilots in the United States Air Force, are assigned to a secret exercise flying a B-3 Stealth Bomber (a fictional iteration of the B-2 Spirit stealth bomber) with two B83 nuclear bombs on board. After successfully evading Air Force radar, Deakins attacks Hale and ejects him out of the plane. Deakins then releases the bombs without detonating them and reports that Hale has gone rogue. He then ejects from the plane, leaving it to crash.
A USAF search and rescue team is sent to recover the warheads. Not finding them, they report a ""Broken Arrow"", a situation wherein nuclear weapons are missing. Next morning the search team locates the warheads in a canyon but is ambushed by mercenaries. Master Sergeant Sam Rhodes (Vondie Curtis-Hall) tries to disable the warhead but is killed by the other survivor, Sgt. Kelly (Howie Long), who was actually the mercenaries' mole. Deakins arrives moments later and plots his next move with Pritchett (Bob Gunton), the mercenaries' financier. They plan to blackmail the US government with the threat of detonating the warhead in a populated area.
Hale has survived the ejection and is almost arrested by park ranger Terry Carmichael (Samantha Mathis), who had been investigating the unusual events in the park. He convinces her to help him track down Deakins. Deakins' mercenaries commandeer the USAF search and rescue helicopter to kill Hale, but Hale and Terry manage to bring it down. The loss of the helicopter forces Deakins' men to transport the warheads with Hummer trucks.
Hale and Terry carjack the Hummer with the warheads, escaping to a nearby abandoned copper mine, where Hale unsuccessfully attempts to disable them. They then take the armed warhead down the shaft where the mine is deep enough to contain the nuclear blast. However, before they can bring down the second warhead, Deakins' team arrives and secures it. After a gun battle deep in the mines, Deakins shortens the countdown of the armed warhead while leaving Hale and Terry trapped, but they escape via an underground river just before the bomb detonates. The bomb's electromagnetic pulse disables the NEST helicopter, allowing Deakins to escape. Terry and Hale track the mercenaries to a motorboat used for transporting the warhead down the river. While trying to steal the boat, Terry is forced to hide onboard and military forces rescue Hale.
Hale deduces that Deakins intends to use a train to transport the warhead. Stowing on the train, Terry tries to sabotage the warhead but is caught by Deakins and is forced to enter the arming code. Catching up on a USAF helicopter, Hale saves Terry before Deakins can throw her off the train. A gunfight ensues and the USAF helicopter crashes, killing most of the mercenaries. Deakins has prepared a remote control that can either disarm or detonate the warhead and gets ready to depart the train on his own getaway helicopter; however, Hale's sabotage of the helicopter's fuel pump causes it to explode, leaving Deakins and Kelly without the means to get clear of the nuclear blast. With his plan falling apart, Deakins decides to arm the warhead regardless with a short countdown timer. Not wanting to die, Kelly holds Deakins at gunpoint and orders him to disarm the weapon. Hale sneaks up on them during their bickering and kicks Kelly out of the boxcar to his death, then engages in a gun battle with Deakins.
Terry detaches the section of the train with the bomb but gets into a shootout with the engineer. The latter is shot and falls on the train brakes, causing the detached boxcars to coast uncontrollably at high speed. Meanwhile, Deakins still has the remote detonator, so he forces Hale to drop his gun and challenges him to a fight. Hale eventually overpowers Deakins, acquires the remote detonator, disarms the warhead and leaps out of the train. As the detached boxcars slam into the halted front half, the warhead flies into Deakins and the entire train derails and explodes.
Hale finds Terry and the damaged warhead. The two formally introduce themselves to each other amidst the wreckage."
Dolemite,"Dolemite is a pimp and nightclub owner who is serving 20 years in prison after being set up by a rival, Willie Green. One day, his friend and fellow pimp Queen Bee helps him get out of jail, and plots with him to get revenge on Green."
The Astounding She-Monster,"Gangsters Nat Burdell (Kenne Duncan) and Brad Conley (Ewing Miles Brown) kidnap wealthy socialite Margaret Chaffee (Marilyn Harvey) and, joined by gun moll Esther Malone (Jeanne Tatum), head for the San Gabriel Mountains to await the ransom they've demanded from Chaffee's father. That night, geologist Dick Cutler (Robert Clarke) sees what he thinks is a meteor crash into the forest. But he doesn't see that out of the smoke from the impact emerges a beautiful glowing blonde female extraterrestrial (Shirley Kilpatrick) in a skintight leotard who can kill by touch.
The gangsters hole up at Cutler's cabin. When the alien peeks through a window, Burdell orders Conley to go after her, but the alien kills Conley, his gunshots having no effect on her whatsoever. Burdell then goes out and runs into the alien himself. Although his gunshots are also ineffective, the alien walks away backwards, allowing Burdell to retrieve Conley's body. Back at the cabin, Cutler says that Conley died of ""radium poisoning"" and that by carrying his body, Burdell has taken a potentially lethal dose of radium and needs to get to a doctor before he dies.
Burdell decides they should flee that night, even though they'll have to navigate a dangerous mountain road in Cutler's headlight-less Jeep. But before they can leave, the alien smashes through the cabin's window. Everyone runs outside. The alien catches Malone and kills her. When the alien tries to grab Burdell, he quickly sidesteps and she tumbles down an embankment. Burdell wrongly thinks she's dead. Cutler and Chaffee have already run back to the cabin. Burdell demands that they leave at once. But as they drive off, the extraterrestrial stops them and kills Burdell.
With all the gangsters dead, Cutler and Chaffee run to the cabin again. Cutler speculates that the alien's body is made of radium and platinum, which protect her from the Earth's atmosphere. He mixes an acid solution that will kill her. When she comes into the cabin, he throws the bottle of acid at her. She is killed and disintegrates.
However, a locket she was wearing is undamaged. Cutler finds in it a note, written in English, from the ""Master of the Council of Planets of the Galaxy."" It's an invitation to Earth to join the Council. Cutler now realizes that the alien was a peaceful emissary who killed only in self-defense. Chaffee says that the Council, with its ""superior wisdom,"" will surely understand that their human nature caused them to fear the alien and that another emissary will no doubt be sent. Cutler agrees, although he asks rhetorically, ""But will it come to bring us good will or simply avenge her death?"""
The Wolf Song,"Sam Lash (Gary Cooper) is a fur trapper with a randy reputation when it comes to women. But when Sam meets tempestuous Mexican damsel Lola Salazar (Velez), he falls deeply in love for the first time in his life. Lola's aristocratic father Don Solomon (Michael Vavitch) disapproves of the romance, forcing Sam to kidnap the girl and high-tail it to the mountains. After a brief period of marital contentment, Sam gets restless and leaves Lola, preferring the company of his trapper pals Gullion (Louis Wolheim) and Rube (Constantin Romanoff). But he relents and returns to his bride—making short work of his bitter enemy, Indian leader Black Wolf (George Rigas)."
Conan the Barbarian,"Conan is the son of Corin, chief of a barbarian tribe. The youth is a skilled but violent warrior, who his father believes is not ready to wield his own sword. Their village is attacked by Khalar Zym, a warlord who wishes to reunite the pieces of the Mask of Acheron to revive his dead wife and conquer Hyboria. The Mask, crafted by a group of sorcerers and used to subjugate the world, was broken into many pieces, scattered among the barbarian tribes. After locating Corin's piece of the mask, and murdering the entire village, Zym leaves. Conan, the only survivor, swears revenge.
Years later, Conan is a pirate but still seeks revenge. He encounters a slave colony and frees it by killing the slave handlers. In the city of Messantia, he encounters Ela-Shan, a thief being chased by Lucius, one of Zym's soldiers from years before. He allows himself to be captured alongside Ela-Shan. Conan escapes imprisonment, kills several of the guards, and confronts Lucius, forcing him to reveal that Zym seeks a girl, the pure-blood descendant of the sorcerers of Acheron; sacrificing the descendant and using blood from the girl will unleash the mask's power. Conan helps the prisoners escape and Ela-Shan tells Conan he will find him at the City of Thieves, Argalon. Lucius is killed by the prisoners.
Zym and his daughter, the sorceress Marique, attack a monastery to find the pure-blood descendant. Sensing something is wrong, Fassir, an elderly monk, tells one of his students, Tamara, to run away and return to her birthplace. When Fassir refuses to reveal his knowledge of the descendant, Zym kills him. Marique slays several priestesses. Tamara's carriage is chased by Zym's men, but Conan rescues her, kills three of her pursuers, and captures Remo. After forcing him to reveal Tamara's importance as the pure-blood, Conan catapults Remo into Zym's nearby camp, killing him.
Zym and Marique confront Conan, who pretends to be interested in exchanging Tamara for gold. Conan attacks Zym, but Marique invokes soldiers made of sand, and poisons Conan with a boomerang sword. Tamara rescues him and they return to Conan's ship, where his friend Artus helps Conan recover. The boat is attacked by Zym's men, who kill several of Conan's men, but are defeated. Conan orders Artus to return to Messantia with Tamara and departs to confront Zym in his kingdom. Artus tells Tamara that Conan left a map behind and she follows him, meeting with him in a cave, where they have sex. The next day, as she is returning to the boat, Zym's men and daughter capture her.
Conan learns of Tamara's capture and departs to Argalon, where he asks Ela-Shan to help him break into Zym's castle. Zym prepares to drain Tamara's blood, mending the mask. He plans to use the girl's body as a vessel for his wife's soul. After confronting an octopus-like monster that guards the dungeons and killing its handlers, Conan infiltrates Zym's followers, kills a guard, steals his robe, and watches as Zym puts on the empowered mask. Conan releases Tamara, and she escapes as he battles Zym, reclaiming the sword Marique had stolen from his father. Marique attacks Tamara, but Conan hears Tamara's scream and cuts off Marique's hand. Tamara kicks her into a pit, where she is impaled. Zym swears revenge upon Conan.
Conan and Tamara are trapped on a bridge as Zym attacks. He uses the mask's power to call forth the spirit of his deceased wife, Maliva, a powerful sorceress, and her spirit begins to possess Tamara's body. She begs Conan to let her fall, but he refuses and instead destroys the bridge before jumping to safety with Tamara. Zym falls into the lava crying out to his wife.
Conan and Tamara escape and he returns her to her birthplace, telling her that they'll meet again. He then returns to Corin's village and tells the memory of his father that he has avenged his death and recovered the sword Marique stole from him, restoring his honor."
Star Kid,"Spencer Griffith (Joseph Mazzello) is a shy boy in seventh grade. He has a crush on a school girl named Michelle (Lauren Eckstrom). Spencer's life changes one night when a mysterious meteorite crashes into a nearby junkyard. Investigating the site, he finds that the ""meteorite"" is actually a small rocket carrying a ""Cyborsuit."", a prototype exoskeletal-suit with AI (short for Artificial Intelligence) from another galaxy. Spencer then decides to try the suit on and melds with the suit AI, who Spencer calls ""Cy"". After testing most of the functions and abilities of the suit, he then goes around town doing whatever he wants, such as getting back at a school bully Turbo (Joey Simmrin), rescuing Michelle and her friends from a damaged ferris wheel, and ordering food from a fast-food restaurant drive-thru, along with a few hilarious antics such as trashing part of his house after getting his head stuck in a refrigerator, figuring out how to eat his drive-thru food through the suit and wanting to get out of the suit to pee when Cy wouldn't let him.
During this time, Earth gets visited by a Broodwarrior (Brian Simpson), a member of an alien race of insectoids waging a war against the creator of the Cyborsuit, Tenris De'Thar and his fellow Trelkins. The Broodwarrior's mission is to capture the Cyborsuit so that his race can analyze it. After his first encounter with the Broodwarrior, Spencer escapes, forces Cy to eject him out of the suit and then abandons Cy telling him that he's afraid that he might not live to see his next birthday if he ""engages"" the Broodwarrior. Back at home, after Spencer looks over his comic book titled MidKnight Warrior and thinking about what kind of person he wants to be, he goes back out to find Cy only to find out that Cy was captured by the Broodwarrior. Spencer begins searching for Cy accompanied by Turbo, now becoming his friend. As they head to the junkyard, where Cy is about to be taken off-world by the Broodwarrior, they create a plan to distract the Broodwarrior long enough for Spencer to rescue Cy. Spencer gets Cy back and begins battling with the Broodwarrior.
During the battle, the Broodwarrior gets the upper hand and defeats Cy and Spencer. After getting bashed multiple times by the Broodwarrior's mace and severely damaging the suit, Cy is forced to eject Spencer out before going completely offline. Spencer covers the suit with scrap metal to hide it from the Broodwarrior, takes a piece of the suit and continues to fight the Broodwarrior, who was later trying to chase down Turbo. Spencer confronts the Broodwarrior before getting chased himself and is suddenly cornered in a junked RV. Just when the Broodwarrior is about to dispose of Spencer, Turbo finds a control panel and activates the car crusher the RV is sitting in, revealing the chase into the RV to be part of a trap. Spencer escapes while the Broodwarrior is compressed along with the RV into a solid metal cube, killing the Broodwarrior.
With the Broodwarrior now destroyed, they return to Cy but it appears they were too late to save him. Just when Spencer begins to lose hope, Cy's creator Tenris De'Thar and Trelkin soldiers appear from a giant UFO orbiting Earth and quickly repair him, bringing him back to life. After Cy and Spencer say goodbye to one another, the head alien soldier gives Spencer a badge for his bravery and courage before their departure back to their home-world, and the long, eventful night finally comes to an end. The next day at school, a now confident Spencer, with encouragement from his new friend Turbo, starts up a conversation with Michelle."
Halloween,"In 1963, on Halloween night in Haddonfield, Illinois, Michael Myers, dressed in a clown costume and mask, inexplicably stabs his older sister Judith to death with a kitchen knife in their home. He is subsequently hospitalized at Warren County's Smith's Grove Sanitarium. Fifteen years later, on October 30, 1978, Michael's child psychiatrist, Dr. Sam Loomis, and his colleague, Marion Chambers, arrive at Smith's Grove Sanitarium to take Michael to court. Michael escapes from the sanitarium, stealing Loomis’ car. Returning home to Haddonfield, Michael kills a mechanic for his uniform and steals a white mask, a couple of knives, and some rope from a local store.
The next day, on Halloween, Michael stalks high school student Laurie Strode after she and Tommy Doyle drop off a key at his former house, so her father can sell it. Throughout the day, Laurie notices Michael following her, but her friends Annie Brackett and Lynda Van der Klok dismiss her concerns. Loomis arrives in Haddonfield in search of Michael, knowing his intentions. After discovering that Judith Myers' headstone has been stolen from the local cemetery, Loomis meets with Annie's father, Sheriff Leigh Brackett. The two begin their search at Michael's house, where Loomis tries to warn the skeptical sheriff about the danger Michael poses, explaining that Michael is pure evil and capable of further violence, despite years of catatonia. Sheriff Brackett patrols the streets while Loomis waits and watches the house, expecting Michael to return there.
Later that night, Laurie goes over to babysit Tommy, while Annie babysits Lindsey Wallace just across the street, unaware that Michael is watching them. When Annie's boyfriend, Paul, calls her to come and pick him up, she takes Lindsey over to the Doyle house to spend the night with Laurie and Tommy. Annie is just about to leave in her car when Michael, who stowed away in the back seat, strangles her before slitting her throat, killing her.
Soon after, Lynda and her boyfriend Bob Simms arrive at the Wallace house. After having sex, Bob goes downstairs to get a beer for Lynda, but Michael stabs him with a knife which pins him to the wall, killing him. Michael then poses as Bob in a ghost costume and confronts Lynda, who teases him, having no effect. Lynda calls Laurie; just as Laurie picks up, Michael strangles Lynda to death with the telephone cord. Meanwhile, Loomis discovers the stolen car and begins combing the streets.
A suspicious Laurie goes over to the Wallace house. There, she finds the corpses of Annie, Bob, and Lynda in an upstairs bedroom, as well as Judith Myers' headstone.[11] Horrified, Laurie cowers in the hallway, when Michael suddenly appears and attacks her, slashing her arm. Barely escaping, Laurie races back to the Doyle house. Michael gets in and attacks her again, but Laurie manages to fend him off long enough for Tommy and Lindsey to escape. Loomis sees the two children fleeing the house, and goes to investigate, finding Michael and Laurie fighting upstairs. Loomis shoots Michael six times, knocking him off the balcony; when Loomis goes to check Michael's body, he finds it missing. Unsurprised, Loomis stares off into the night. Places where Michael had previously been are shown as his breathing is heard, indicating he could be anywhere, and the last view is of the Myers house."
