date,co2,relative_temp
1958-03-06,315.71,0.1
1958-04-06,317.45,0.01
1958-05-06,317.5,0.08
1958-06-06,,-0.05
1958-07-06,315.86,0.06
1958-08-06,314.93,-0.06
1958-09-06,313.2,-0.03
1958-10-06,,0.04
1958-11-06,313.33,0.02
1958-12-06,314.67,0.01
1959-01-06,315.62,0.06
1959-02-06,316.38,0.09
1959-03-06,316.71,0.19
1959-04-06,317.72,0.16
1959-05-06,318.29,0.06
1959-06-06,318.15,0.02
1959-07-06,316.54,0.06
1959-08-06,314.8,-0.01
1959-09-06,313.84,-0.06
1959-10-06,313.26,-0.09
1959-11-06,314.8,-0.09
1959-12-06,315.58,-0.03
1960-01-06,316.43,-0.01
1960-02-06,316.97,0.14
1960-03-06,317.58,-0.36
1960-04-06,319.02,-0.16
1960-05-06,320.03,-0.08
1960-06-06,319.59,0.01
1960-07-06,318.18,-0.02
1960-08-06,315.91,-0.01
1960-09-06,314.16,0.05
1960-10-06,313.83,0.07
1960-11-06,315.0,-0.11
1960-12-06,316.19,0.18
1961-01-06,316.93,0.07
1961-02-06,317.7,0.18
1961-03-06,318.54,0.09
1961-04-06,319.48,0.15
1961-05-06,320.58,0.13
1961-06-06,319.77,0.12
1961-07-06,318.57,-0.03
1961-08-06,316.79,0.02
1961-09-06,314.8,0.05
1961-10-06,315.38,0.0
1961-11-06,316.1,0.03
1961-12-06,317.01,-0.15
1962-01-06,317.94,0.08
1962-02-06,318.56,0.14
1962-03-06,319.68,0.12
1962-04-06,320.63,0.05
1962-05-06,321.01,-0.06
1962-06-06,320.55,0.06
1962-07-06,319.58,-0.02
1962-08-06,317.4,-0.02
1962-09-06,316.26,-0.01
1962-10-06,315.42,-0.03
1962-11-06,316.69,0.06
1962-12-06,317.69,-0.01
1963-01-06,318.74,-0.03
1963-02-06,319.08,0.19
1963-03-06,319.86,-0.13
1963-04-06,321.39,-0.05
1963-05-06,322.25,-0.09
1963-06-06,321.47,0.03
1963-07-06,319.74,0.08
1963-08-06,317.77,0.25
1963-09-06,316.21,0.2
1963-10-06,315.99,0.15
1963-11-06,317.12,0.15
1963-12-06,318.31,0.0
1964-01-06,319.57,-0.06
1964-02-06,,-0.12
1964-03-06,,-0.22
1964-04-06,,-0.3
1964-05-06,322.25,-0.25
1964-06-06,321.89,-0.07
1964-07-06,320.44,-0.07
1964-08-06,318.7,-0.2
1964-09-06,316.7,-0.28
1964-10-06,316.79,-0.3
1964-11-06,317.79,-0.21
1964-12-06,318.71,-0.3
1965-01-06,319.44,-0.09
1965-02-06,320.44,-0.17
1965-03-06,320.89,-0.11
1965-04-06,322.13,-0.2
1965-05-06,322.16,-0.14
1965-06-06,321.87,-0.08
1965-07-06,321.39,-0.12
1965-08-06,318.81,-0.01
1965-09-06,317.81,-0.15
1965-10-06,317.3,-0.04
1965-11-06,318.87,-0.06
1965-12-06,319.42,-0.05
1966-01-06,320.62,-0.16
1966-02-06,321.59,0.0
1966-03-06,322.39,0.04
1966-04-06,323.87,-0.13
1966-05-06,324.01,-0.1
1966-06-06,323.75,0.02
1966-07-06,322.39,0.09
1966-08-06,320.37,-0.1
1966-09-06,318.64,-0.01
1966-10-06,318.1,-0.15
1966-11-06,319.79,-0.02
1966-12-06,321.08,-0.06
1967-01-06,322.07,-0.06
1967-02-06,322.5,-0.2
1967-03-06,323.04,0.03
1967-04-06,324.42,-0.05
1967-05-06,325.0,0.14
1967-06-06,324.09,-0.08
1967-07-06,322.55,0.01
1967-08-06,320.92,0.02
1967-09-06,319.31,-0.04
1967-10-06,319.31,0.06
1967-11-06,320.72,-0.06
1967-12-06,321.96,-0.02
1968-01-06,322.57,-0.23
1968-02-06,323.15,-0.15
1968-03-06,323.89,0.21
1968-04-06,325.02,-0.05
1968-05-06,325.57,-0.1
1968-06-06,325.36,-0.06
1968-07-06,324.14,-0.11
1968-08-06,322.03,-0.11
1968-09-06,320.41,-0.18
1968-10-06,320.25,0.12
1968-11-06,321.31,-0.04
1968-12-06,322.84,-0.14
1969-01-06,324.0,-0.11
1969-02-06,324.42,-0.14
1969-03-06,325.64,0.0
1969-04-06,326.66,0.19
1969-05-06,327.34,0.2
1969-06-06,326.76,0.05
1969-07-06,325.88,-0.01
1969-08-06,323.67,0.03
1969-09-06,322.38,0.1
1969-10-06,321.78,0.11
1969-11-06,322.85,0.12
1969-12-06,324.11,0.27
1970-01-06,325.03,0.09
1970-02-06,325.99,0.22
1970-03-06,326.87,0.08
1970-04-06,328.13,0.09
1970-05-06,328.07,-0.05
1970-06-06,327.66,-0.03
1970-07-06,326.35,-0.04
1970-08-06,324.69,-0.11
1970-09-06,323.1,0.11
1970-10-06,323.16,0.05
1970-11-06,323.98,0.01
1970-12-06,325.13,-0.13
1971-01-06,326.17,-0.02
1971-02-06,326.68,-0.2
1971-03-06,327.18,-0.18
1971-04-06,327.78,-0.09
1971-05-06,328.92,-0.06
1971-06-06,328.57,-0.18
1971-07-06,327.34,-0.12
1971-08-06,325.46,-0.03
1971-09-06,323.36,-0.01
1971-10-06,323.57,-0.05
1971-11-06,324.8,-0.04
1971-12-06,326.01,-0.08
1972-01-06,326.77,-0.24
1972-02-06,327.63,-0.17
1972-03-06,327.75,0.02
1972-04-06,329.72,-0.01
1972-05-06,330.07,-0.03
1972-06-06,329.09,0.04
1972-07-06,328.05,0.02
1972-08-06,326.32,0.18
1972-09-06,324.93,0.03
1972-10-06,325.06,0.09
1972-11-06,326.5,0.03
1972-12-06,327.55,0.18
1973-01-06,328.54,0.28
1973-02-06,329.56,0.3
1973-03-06,330.3,0.26
1973-04-06,331.5,0.25
1973-05-06,332.48,0.26
1973-06-06,332.07,0.16
1973-07-06,330.87,0.09
1973-08-06,329.31,0.02
1973-09-06,327.51,0.06
1973-10-06,327.18,0.12
1973-11-06,328.16,0.06
1973-12-06,328.64,-0.06
1974-01-06,329.35,-0.14
1974-02-06,330.71,-0.28
1974-03-06,331.48,-0.05
1974-04-06,332.65,-0.1
1974-05-06,333.2,-0.01
1974-06-06,332.16,-0.05
1974-07-06,331.07,-0.03
1974-08-06,329.12,0.12
1974-09-06,327.32,-0.12
1974-10-06,327.28,-0.07
1974-11-06,328.3,-0.07
1974-12-06,329.58,-0.09
1975-01-06,330.73,0.07
1975-02-06,331.46,0.07
1975-03-06,331.9,0.14
1975-04-06,333.17,0.06
1975-05-06,333.94,0.16
1975-06-06,333.45,-0.02
1975-07-06,331.98,-0.03
1975-08-06,329.95,-0.2
1975-09-06,328.5,-0.03
1975-10-06,328.35,-0.09
1975-11-06,329.37,-0.16
1975-12-06,,-0.17
1976-01-06,331.59,0.0
1976-02-06,332.75,-0.06
1976-03-06,333.52,-0.21
1976-04-06,334.64,-0.1
1976-05-06,334.77,-0.23
1976-06-06,334.0,-0.15
1976-07-06,333.06,-0.12
1976-08-06,330.68,-0.18
1976-09-06,328.95,-0.09
1976-10-06,328.75,-0.26
1976-11-06,330.15,-0.06
1976-12-06,331.62,0.09
1977-01-06,332.66,0.18
1977-02-06,333.13,0.2
1977-03-06,334.95,0.25
1977-04-06,336.13,0.27
1977-05-06,336.93,0.3
1977-06-06,336.17,0.25
1977-07-06,334.88,0.23
1977-08-06,332.56,0.19
1977-09-06,331.29,0.02
1977-10-06,331.27,0.04
1977-11-06,332.41,0.2
1977-12-06,333.6,0.05
1978-01-06,334.95,0.08
1978-02-06,335.25,0.14
1978-03-06,336.66,0.21
1978-04-06,337.69,0.15
1978-05-06,338.03,0.07
1978-06-06,338.01,-0.03
1978-07-06,336.41,0.07
1978-08-06,334.41,-0.18
1978-09-06,332.37,0.05
1978-10-06,332.41,0.0
1978-11-06,333.75,0.16
1978-12-06,334.9,0.11
1979-01-06,336.14,0.14
1979-02-06,336.69,-0.09
1979-03-06,338.27,0.19
1979-04-06,338.95,0.13
1979-05-06,339.21,0.06
1979-06-06,339.26,0.14
1979-07-06,337.54,0.03
1979-08-06,335.75,0.14
1979-09-06,333.98,0.27
1979-10-06,334.19,0.26
1979-11-06,335.31,0.29
1979-12-06,336.81,0.47
1980-01-06,337.9,0.3
1980-02-06,338.34,0.42
1980-03-06,340.01,0.29
