Date,Company,Product,Units
2015-02-26 08:57:45,Streeplex,Service,4
2015-02-16 12:09:19,Hooli,Software,10
2015-02-03 14:14:18,Initech,Software,13
2015-02-02 08:33:01,Hooli,Software,3
2015-02-25 00:29:00,Initech,Service,10
2015-02-05 01:53:06,Acme Coporation,Software,19
2015-02-09 08:57:30,Streeplex,Service,19
2015-02-11 20:03:08,Initech,Software,7
2015-02-04 21:52:45,Acme Coporation,Hardware,14
2015-02-09 13:09:55,Mediacore,Software,7
2015-02-07 22:58:10,Acme Coporation,Hardware,1
2015-02-11 22:50:44,Hooli,Software,4
2015-02-26 08:58:51,Streeplex,Service,1
2015-02-05 22:05:03,Hooli,Service,10
2015-02-04 15:36:29,Streeplex,Software,13
2015-02-19 16:02:58,Mediacore,Service,10
2015-02-19 10:59:33,Mediacore,Hardware,16
2015-02-02 20:54:49,Mediacore,Hardware,9
2015-02-21 05:01:26,Mediacore,Software,3
2015-02-21 20:41:47,Hooli,Hardware,3
