Date,Company,Product,Units
2015-03-22 14:42:25,Mediacore,Software,6
2015-03-12 18:33:06,Initech,Service,19
2015-03-22 03:58:28,Streeplex,Software,8
2015-03-15 00:53:12,Hooli,Hardware,19
2015-03-17 19:25:37,Hooli,Hardware,10
2015-03-16 05:54:06,Mediacore,Software,3
2015-03-25 10:18:10,Initech,Hardware,9
2015-03-25 16:42:42,Streeplex,Hardware,12
2015-03-26 05:20:04,Streeplex,Software,3
2015-03-06 10:11:45,Mediacore,Software,17
2015-03-22 21:14:39,Initech,Hardware,11
2015-03-17 19:38:12,Hooli,Hardware,8
2015-03-28 19:20:38,Acme Coporation,Service,5
2015-03-13 04:41:32,Streeplex,Hardware,8
2015-03-06 02:03:56,Mediacore,Software,17
2015-03-13 11:40:16,Initech,Software,11
2015-03-27 08:29:45,Mediacore,Software,6
2015-03-21 06:42:41,Mediacore,Hardware,19
2015-03-15 08:50:45,Initech,Hardware,18
2015-03-13 16:25:24,Streeplex,Software,9
