CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,MOST RECENT ACTION,STREET ADDRESS,ZIP
2018-12-17T00:00:00.000,Open,,18-03380123,Pothole in Street,,10300 S WALLACE ST,60628.0
2018-12-18T00:00:00.000,Open,,18-03388180,Pothole in Street,,4100 S WESTERN BLVD,60609.0
2018-12-18T00:00:00.000,Open,,18-03388493,Pothole in Street,,5230 S NEW ENGLAND AVE,60638.0
2018-12-17T00:00:00.000,Open,,18-03386050,Pothole in Street,,1053 E 92ND ST,60619.0
2018-12-17T00:00:00.000,Open,,18-03382135,Pothole in Street,,4756 W 85TH ST,60652.0
2018-12-17T00:00:00.000,Open,,18-03382643,Pothole in Street,,3623 N NORA AVE,60634.0
2018-12-17T00:00:00.000,Completed,2018-12-18T00:00:00.000,18-03378491,Pothole in Street,Completed Upon Arrival,719 N DRAKE AVE,60624.0
2018-12-17T00:00:00.000,Open,,18-03380795,Pothole in Street,,1900 S HAMLIN AVE,60623.0
2018-12-18T00:00:00.000,Open,,18-03388657,Pothole in Street,,1899 S KOMENSKY AVE,60623.0
2018-12-17T00:00:00.000,Open,,18-03383604,Pothole in Street,,1646 N NATOMA AVE,60707.0
2018-12-18T00:00:00.000,Open,,18-03387491,Pothole in Street,,3530 W GOVERNORS PKWY,60624.0
2018-12-17T00:00:00.000,Open,,18-03381825,Pothole in Street,,7558 W DEVON AVE,60631.0
2018-12-17T00:00:00.000,Open,,18-03381945,Pothole in Street,,2411 N NEWCASTLE AVE,60707.0
2018-12-18T00:00:00.000,Open,,18-03388109,Pothole in Street,,6300 S NARRAGANSETT AVE,60638.0
2018-12-17T00:00:00.000,Open,,18-03381921,Pothole in Street,,4400 W BELDEN AVE,60639.0
2018-12-18T00:00:00.000,Open,,18-03389580,Pothole in Street,,1127 W SCHUBERT AVE,60614.0
2018-12-17T00:00:00.000,Open,,18-03378282,Pothole in Street,,5606 W BRYN MAWR AVE,60646.0
2018-12-17T00:00:00.000,Open,,18-03378374,Pothole in Street,,9400 S WOODLAWN AVE,60619.0
2018-12-17T00:00:00.000,Open,,18-03381490,Pothole in Street,,1105 N CHRISTIANA AVE,60651.0
2018-12-17T00:00:00.000,Open,,18-03383626,Pothole in Street,,10359 S FAIRFIELD AVE,60655.0
2018-12-17T00:00:00.000,Open,,18-03382580,Pothole in Street,,5508 S WHIPPLE ST,60629.0
2018-12-18T00:00:00.000,Open,,18-03388378,Pothole in Street,,1358 S KEDZIE AVE,60623.0
2018-12-17T00:00:00.000,Open,,18-03382611,Pothole in Street,,3021 N NEWLAND AVE,60634.0
2018-12-17T00:00:00.000,Open,,18-03384843,Pothole in Street,,4711 N VIRGINIA AVE,60625.0
2018-12-17T00:00:00.000,Open,,18-03383522,Pothole in Street,,7926 S COTTAGE GROVE AVE,60619.0
2018-12-17T00:00:00.000,Open,,18-03378054,Pothole in Street,,4142 N WESTERN AVE,60618.0
