reviewid,title,url,score,best_new_music,author,author_type,pub_date,pub_weekday,pub_day,pub_month,pub_year
22703,mezzanine,http://pitchfork.com/reviews/albums/22703-mezzanine/,9.3,0,nate patrin,contributor,2017-01-08,6,8,1,2017
22721,prelapsarian,http://pitchfork.com/reviews/albums/22721-prelapsarian/,7.9,0,zoe camp,contributor,2017-01-07,5,7,1,2017
22659,all of them naturals,http://pitchfork.com/reviews/albums/22659-all-of-them-naturals/,7.3,0,david glickman,contributor,2017-01-07,5,7,1,2017
22661,first songs,http://pitchfork.com/reviews/albums/22661-first-songs/,9,1,jenn pelly,associate reviews editor,2017-01-06,4,6,1,2017
22725,new start,http://pitchfork.com/reviews/albums/22725-new-start/,8.1,0,kevin lozano,tracks coordinator,2017-01-06,4,6,1,2017
22722,insecure (music from the hbo original series),http://pitchfork.com/reviews/albums/22722-insecure-music-from-the-hbo-original-series/,7.4,0,vanessa okoth-obbo,contributor,2017-01-05,3,5,1,2017
22704,stillness in wonderland,http://pitchfork.com/reviews/albums/22704-little-simz-stillness-in-wonderland/,7.1,0,katherine st. asaph,contributor,2017-01-05,3,5,1,2017
22694,tehillim,http://pitchfork.com/reviews/albums/22694-tehillim/,7,0,andy beta,contributor,2017-01-05,3,5,1,2017
22714,reflection,http://pitchfork.com/reviews/albums/22714-reflection/,7.7,0,andy beta,contributor,2017-01-04,2,4,1,2017
22724,filthy america its beautiful,http://pitchfork.com/reviews/albums/22724-filthy-america-its-beautiful/,5.3,0,ian cohen,contributor,2017-01-04,2,4,1,2017
22715,clear sounds/perfetta,http://pitchfork.com/reviews/albums/22715-clear-soundsperfetta/,8,0,marc masters,contributor,2017-01-04,2,4,1,2017
22745,run the jewels 3,http://pitchfork.com/reviews/albums/22745-run-the-jewels-3/,8.6,1,sheldon pearce,associate staff writer,2017-01-03,1,3,1,2017
22700,nadir,http://pitchfork.com/reviews/albums/22700-nadir/,7.6,0,thea ballard,contributor,2017-01-03,1,3,1,2017
22720,december 99th,http://pitchfork.com/reviews/albums/22720-december-99th/,3.5,0,marcus j. moore,contributor,2017-01-02,0,2,1,2017
22699,don't smoke rock,http://pitchfork.com/reviews/albums/22699-dont-smoke-rock/,7.4,0,dean van nguyen,contributor,2017-01-02,0,2,1,2017
22665,punk45: les punks: the french connection (the first wave of french punk 1977-80),http://pitchfork.com/reviews/albums/22665-punk45-les-punks-the-french-connection-the-first-wave-of-french-punk-1977-80/,6.6,0,louis pattison,contributor,2017-01-02,0,2,1,2017
22666,brnshj (puncak),http://pitchfork.com/reviews/albums/22666-brnshj-puncak/,7.4,0,philip sherburne,contributing editor,2017-01-02,0,2,1,2017
22719,merry christmas lil mama,http://pitchfork.com/reviews/albums/22719-merry-christmas-lil-mama/,8.1,0,sheldon pearce,associate staff writer,2016-12-30,4,30,12,2016
22667,///// effectual,http://pitchfork.com/reviews/albums/22667-effectual/,7.2,0,benjamin scheim,contributor,2016-12-30,4,30,12,2016
22691,love you to death,http://pitchfork.com/reviews/albums/22691-love-you-to-death/,7,0,rebecca haithcoat,contributor,2016-12-29,3,29,12,2016
22702,what graceless dawn,http://pitchfork.com/reviews/albums/22702-what-graceless-dawn/,7.5,0,sam sodomsky,associate staff writer,2016-12-29,3,29,12,2016
22718,not the actual events ep,http://pitchfork.com/reviews/albums/22718-not-the-actual-events-ep/,6.3,0,benjamin scheim,contributor,2016-12-28,2,28,12,2016
22706,holy science,http://pitchfork.com/reviews/albums/22706-holy-science/,7.8,0,seth colter walls,contributor,2016-12-28,2,28,12,2016
22695,"early tapes, 1996-1998",http://pitchfork.com/reviews/albums/22695-early-tapes-1996-1998/,6.5,0,benjamin scheim,contributor,2016-12-27,1,27,12,2016
22713,the wasp factory,http://pitchfork.com/reviews/albums/22713-the-wasp-factory/,7.3,0,brian howe,contributor,2016-12-27,1,27,12,2016
22705,a very kacey christmas,http://pitchfork.com/reviews/albums/22705-a-very-kacey-christmas/,6.8,0,marc hogan,senior staff writer,2016-12-23,4,23,12,2016
22532,turn into,http://pitchfork.com/reviews/albums/22532-turn-into/,8.2,0,quinn moreland,assistant editor,2016-12-23,4,23,12,2016
22701,traditional music of notional species vol. ii,http://pitchfork.com/reviews/albums/22701-traditional-music-of-notional-species-vol-ii/,6.8,0,andy beta,contributor,2016-12-23,4,23,12,2016
22707,swiss radio days vol. 41 - zurich 1961,http://pitchfork.com/reviews/albums/22707-swiss-radio-days-vol-41-zurich-1961/,9,1,seth colter-walls,contributor,2016-12-22,3,22,12,2016
22708,do what thou wilt.,http://pitchfork.com/reviews/albums/22708-do-what-thou-wilt/,4.4,0,sheldon pearce,associate staff writer,2016-12-22,3,22,12,2016
22559,the great southern trendkill,http://pitchfork.com/reviews/albums/22559-the-great-southern-trendkill-20th-anniversary-edition/,7.7,0,savy reyes-kulkarni,contributor,2016-12-22,3,22,12,2016
22692,the return of east atlanta santa,http://pitchfork.com/reviews/albums/22692-the-return-of-east-atlanta-santa/,7.6,0,renato pagnani,contributor,2016-12-21,2,21,12,2016
22677,jackie ost,http://pitchfork.com/reviews/albums/22677-jackie-ost/,7.1,0,kevin lozano,tracks coordinator,2016-12-21,2,21,12,2016
22469,"passion, pain & demon slayin",http://pitchfork.com/reviews/albums/22469-passion-pain-demon-slayin/,6.7,0,matthew strauss,associate editor,2016-12-20,1,20,12,2016
22711,pieces in space,http://pitchfork.com/reviews/albums/22711-sammus-pieces-in-space/,7.2,0,sheldon pearce,associate staff writer,2016-12-20,1,20,12,2016
22678,fireplace: thenottheotherside,http://pitchfork.com/reviews/albums/22678-fireplace-thenottheotherside/,5,0,matthew strauss,associate editor,2016-12-19,0,19,12,2016
22664,slight freedom,http://pitchfork.com/reviews/albums/22664-slight-freedom/,8,0,philip sherburne,contributing editor,2016-12-19,0,19,12,2016
22685,in the loop: a decade of remixes,http://pitchfork.com/reviews/albums/22685-in-the-loop-a-decade-of-remixes/,6.4,0,andy beta,contributor,2016-12-17,5,17,12,2016
22690,heart song,http://pitchfork.com/reviews/albums/22690-heart-song/,7.7,0,benjamin scheim,contributor,2016-12-17,5,17,12,2016
22689,american boyfriend: a suburban love story,http://pitchfork.com/reviews/albums/22689-american-boyfriend-a-suburban-love-story/,6.4,0,david turner,contributor,2016-12-17,5,17,12,2016
22697,throat,http://pitchfork.com/reviews/albums/22697-throat/,7.1,0,thea ballard,contributor,2016-12-17,5,17,12,2016
22681,w:/2016album/,http://pitchfork.com/reviews/albums/22681-w2016album/,5.9,0,philip sherburne,contributing editor,2016-12-16,4,16,12,2016
22698,oh no no no remixes ep,http://pitchfork.com/reviews/albums/22698-oh-no-no-no-remixes-ep/,6.5,0,vanessa okoth-obbo,contributor,2016-12-16,4,16,12,2016
22684,grunewald,http://pitchfork.com/reviews/albums/22684-grunewald/,6.7,0,benjamin scheim,contributor,2016-12-16,4,16,12,2016
22693,chronology,http://pitchfork.com/reviews/albums/22693-chronology/,7.5,0,seth colter walls,contributor,2016-12-16,4,16,12,2016
22686,stoney,http://pitchfork.com/reviews/albums/22686-stoney/,4.5,0,matthew ramirez,contributor,2016-12-15,3,15,12,2016
22643,bob dylan: the 1966 live recordings,http://pitchfork.com/reviews/albums/22643-bob-dylan-the-1966-live-recordings/,9.3,0,jesse jarnow,contributor,2016-12-15,3,15,12,2016
22640,melo de melo ep,http://pitchfork.com/reviews/albums/22640-melo-de-melo-ep/,7,0,andrew gaerig,contributor,2016-12-15,3,15,12,2016
22688,equality now ep,http://pitchfork.com/reviews/albums/22688-equality-now-ep/,7.1,0,louis pattison,contributor,2016-12-15,3,15,12,2016
22696,4 your eyez only,http://pitchfork.com/reviews/albums/22696-4-your-eyez-only/,6.7,0,paul a. thompson,contributor,2016-12-14,2,14,12,2016
22663,the early years 1965-1972,http://pitchfork.com/reviews/albums/22663-the-early-years-1965-1972/,8.8,1,jesse jarnow,contributor,2016-12-14,2,14,12,2016
