company,bean_origin,cocoa_percent,company_location,rating,bean_type,broad_bean_origin
Amedei,Toscano Black,0.7,Italy,2.75,Blend,Unknown
Amedei,Toscano Black,0.66,Italy,2.75,Blend,Unknown
Bonnat,Trinite,0.75,France,2.75,Trinitario,Carribean
Bonnat,Ocumare- Puerto Cabello,0.75,France,2.75,Unknown,Venezuela
Bonnat,Maracaibo- El Rosario,0.75,France,3,Criollo,Venezuela
Bonnat,Madagascar,0.75,France,3,Trinitario,Madagascar
Bonnat,One Hundred,1,France,3,Unknown,Unknown
Bonnat,Ceylan,0.75,France,3.25,Unknown,Sri Lanka
Bonnat,Chuao,0.75,France,3.25,Trinitario,Venezuela
Cote d' Or (Kraft),Sensations Intense,0.7,Belgium,3.25,Unknown,Unknown
Dolfin (Belcolade),Noir,0.7,Belgium,3.5,Unknown,Unknown
Domori,Sur del Lago Classificado,0.7,Italy,3.5,Trinitario,Venezuela
Domori,Apurimac,0.7,Italy,3.5,Trinitario,Peru
Domori,Carenero Superior,0.7,Italy,3.5,Trinitario,Venezuela
El Rey,Carenero Superior- Gran Saman,0.7,Venezuela,3.5,Criollo,Venezuela
Felchlin,Supremo- SF,0.62,Switzerland,3.5,Unknown,Unknown
Felchlin,Elvesia P.,0.74,Switzerland,3.75,Trinitario- Criollo,Dominican Republic
Felchlin,Madagascar- Grand Cru,0.64,Switzerland,3.75,Criollo,Madagascar
Felchlin,Maracaibo Clasificado,0.65,Switzerland,3.75,Criollo,Venezuela
Felchlin,Arriba,0.72,Switzerland,3.75,Forastero (Arriba),Ecuador
Felchlin,Alto Beni- Cru Savage,0.68,Switzerland,4,Criollo (Wild),Bolivia
Green & Black's (ICAM),Dark,0.7,U.K.,4,Unknown,Unknown
Guittard,Chucuri,0.65,U.S.A.,4,Trinitario,Colombia
Guittard,Sur del Lago,0.65,U.S.A.,3.75,Trinitario- Criollo,Venezuela
Guittard,Sambirano- Ambanja,0.65,U.S.A.,3.75,Criollo- +,Madagascar
