IncidentDateTime,City,IncidentState,Country,Shape,DurationSeconds,Comments
2005-10-31 18:00:00.000,poughkeepsie,ny,us,light,37800.00,Several bright lights moving erratically for extended periods of time&#44 including growing in size and brightness&#44 and disappearing.
2005-10-31 18:30:00.000,linwood,nj,us,light,5.00,VERY bright apparent meteor over Southern New Jersey on 10/31 and 11/1 2005
2005-10-31 19:00:00.000,clarksville,md,us,other,5.00,White ball shaped bright object whizzing across the holloween sky
2005-10-31 19:00:00.000,newark,de,us,light,45.00,Very fast&#44 brillant bluish/white light travelling horizontally without dimming or falling
2005-10-31 19:00:00.000,scottsdale,az,us,triangle,600.00,Gilbert
2005-10-31 19:15:00.000,chambersburg,pa,us,fireball,20.00,Fireball
2005-10-31 19:30:00.000,scottsdale,az,us,triangle,120.00,On Halloween Night 2005&#44 3 Lights in shape of a triangle moving over Scottsdale&#44 AZ.
2005-10-31 19:40:00.000,bristol,tn,us,changing,90.00,TENNESSEE MUFON REPORT:  Slowly falling&#44 plasma-like object.
2005-10-31 20:00:00.000,fairfield,ca,us,triangle,20.00,Triangular craft hovering over highway
2005-10-31 20:30:00.000,greensboro,md,us,fireball,60.00,At about 8:30 EST  on 10/31/05 Something lit up the sky and fell towards Earth as a fireball with a long firery trail behind it
2005-10-31 21:00:00.000,augusta springs,va,us,unknown,60.00,We saw an unusual bright blue flash in the sky and then noticed a trail in the sky that quickly faded away.
2005-10-31 21:00:00.000,greensboro,nc,us,flash,15.00,Driving north on rt. 220 towards Va. Approx. 9 p.m. the sky entirely lit up  in a blue/turquiose color and deminished as fast as it app
2005-10-31 21:00:00.000,johnstown,pa,us,egg,180.00,lights in SW sky 10/31/05 9pm
2005-10-31 21:10:00.000,mt. pleasant,pa,us,flash,15.00,Bright green stream of light that was moving south along 119 South.
2005-10-31 21:15:00.000,leesburg,va,us,NULL,2.00,Very bright flash with a tail seen in the night sky on Oct. 31&#44 2005 between 21:00 and 21:30 over Leesburg&#44 VA.
2005-10-31 21:17:00.000,charlottesville,va,us,fireball,10.00,Bright fiery contrail in eastern night sky
2005-10-31 21:30:00.000,burnsville,nc,us,fireball,120.00,Fireball in the sky while viewing Mars 10/31/05
2005-10-31 21:30:00.000,lancaster,pa,us,light,3.00,light across the sky
2005-10-31 21:40:00.000,bristol,tn,us,unknown,90.00,MUFON TENNESSEE REPORT:  Tennessee  confirmation of sighting.
2005-10-31 23:45:00.000,northridge,ca,us,unknown,2.00,We&#39re not sure what we saw - if it was a meteor or a craft. It went very quickly&#44 at an arc downward&#44 and vanished. It was a huge brigh
2005-10-31 23:52:00.000,salt lake city,ut,us,disk,2.00,saucer shaped craft&#44 emitting a glow of grey/white light moving up words from the valley floor
2005-10-31 00:00:00.000,orland park,il,us,formation,2.00,strange lights over Orland Park&#44 Ill
2006-10-31 08:00:00.000,chicago,il,us,NULL,3600.00,Perfect  giant circular hole in heavy clouds with a clear blue sky only within the hole.
2006-10-31 08:30:00.000,valencia,ca,us,triangle,10.00,Sliver shaped white and silver object seen on I-5
2006-10-31 10:30:00.000,seattle,wa,us,unknown,1800.00,Strange objects in the morning sky over Seattle - on Halloween.  ((NUFORC Note:  A contrail&#44 we believe.  PD))
2006-10-31 11:00:00.000,eureka,mt,us,fireball,300.00,falling fireball super slow 100 feet from ground
2006-10-31 17:40:00.000,portage,wi,us,light,10.00,2 Rows of 4 orange lights over Portage
2006-10-31 19:10:00.000,tualatin,or,us,fireball,30.00,Fireball sighting on Halloween night
2006-10-31 19:20:00.000,newcastle,wa,us,light,10.00,A green light flew up into the sky&#44 moved left&#44 and descended.
2006-10-31 20:00:00.000,tinley park,il,us,triangle,2700.00,Triangle shaped object with lights hovering in the sky
2006-10-31 23:00:00.000,scappoose,or,us,oval,3600.00,oval shaped ufo shoots in to air with many colors
2006-10-31 00:00:00.000,seguin,tx,us,triangle,14400.00,((HOAX??)) Right Place -Wrong Time Goverment talking Triangle Craft down over local TX Hospital
2007-10-31 02:15:00.000,saint paul,mn,us,light,45.00,Orange points of light racing South from Perseus at great speed and altitude slowing&#44 speeding&#44 passing each other.
2007-10-31 02:45:00.000,highland,ny,us,fireball,5.00,I witnessed a lowflying thick bright green fire trail that appeared out of nowehere.  ((NUFORC Note:  Possible meteor??  PD))
2007-10-31 03:00:00.000,middle island,ny,us,fireball,2.00,Incredibly huge fireball with ion trail and slight alteration of trajectory.  ((NUFORC Note:  Possible meteor??  PD))
2007-10-31 20:50:00.000,colorado springs,co,us,disk,120.00,A saucer&#44 flying only about 50 feet in the air&#44 right above the middle of Colorado Springs.  ((NUFORC Note:  Student report.  PD))
2007-10-31 21:55:00.000,lombard,il,us,unknown,10.00,Small circle or triangle with 3 dim white lights moving very quickly.
2008-10-31 00:00:00.000,saint marys,wv,us,unknown,10.00,A V-shape formation made up of approximately 8-10 lights.
2005-10-31 19:30:00.000,australia,,,disk,180.00,Chromed disc shapped object moving irractically&#44 dissapearing/reapearing&#44 very fast to floating at times. Clear skies at dusk.
2006-10-31 20:00:00.000,ivanka pri dunaji (slovakia),,,light,20.00,I with my frends smoked in our small town located in state Slovakia in the middle of europe and we saw a lightball above near city Brat
2009-10-31 12:00:00.000,tunisia (in-flight; over ocean),,,formation,420.00,Bright triangular formations in the sky
2011-10-31 20:30:00.000,dehradun (uttar pradesh) (india),,,flash,2.00,It was a conical flare at very high speed( 50M?)&#44 no sound and it was there for few seconds.
2013-10-31 22:15:00.000,erode (india),,,rectangle,60.00,Greenish box shape object at Erode&#44 India.
2003-10-03 02:30:00.000,new delhi (india),,,cylinder,180.00,UFO SEEN OVER NEW DELHI (INDIA)
2008-10-03 10:30:00.000,chawton&#44 hampshire (uk/england),,,light,12.00,Circular bright orange light in the night sky that glowed twice (on/off) before disappearing
2012-10-03 05:00:00.000,setif (algeria),,,light,60.00,One of very bright and big sphere was standing alone with a small boarded one. The another big sphere approached.
2000-10-04 17:00:00.000,goa (india),,,other,600.00,While driving back from Panji to Goa we observed three peculiar cloud formations stacked one above the other.The sky was clear and the
2001-10-04 12:30:00.000,port of spain (trinidad),,,sphere,40.00,Round&#44 white sphere&#44 moving at incredible speed&#44 stopping and moving at right angles.
2004-10-04 03:20:00.000,baghdad (iraq),,,light,30.00,Strange light captured on CNN &quot;Special Report&quot; from Baghdad
2005-10-04 21:30:00.000,hyvink&auml;&auml; (finland),,,other,90.00,The story of strange satellites REVEALED
2011-10-04 20:30:00.000,pohang (south korea),,,light,2700.00,Over 70 soft lights seen hovering over Pohang&#44 South Korea.
2012-10-04 21:00:00.000,pitesti (romania),,,light,480.00,I was on the porch smoking a cigarette&#44 looking up and I saw something that looked like a normal star&#44 with the exception that it was c
1999-10-05 10:57:00.000,tuaran (sabah) (malaysia),,,fireball,240.00,2 glowing fireball (white blue) crossing from west coast going to Mt. Kinabalu direction. Elevation more than ten thousands feet approx
2004-10-05 18:35:00.000,palampur (india),,,other,30.00,while on our evening walk in the hills  this umbrella shaped being with what seemed to be its legs slightly above ground startled us
2006-10-05 22:00:00.000,kalgoorlie (australia),,,light,240.00,seen in kalgoorlie Australia  2 star shaped lights (flashing)
2007-10-05 09:36:00.000,st. helier (jersey channel islands) (uk/england),,,light,20.00,Bright white light seen in daylight over Channel Islands moving on East to West course
2012-10-05 19:20:00.000,chennai (tamil nadu) (india),,,circle,120.00,A bigger bright light moving slowly&#44 in night sky for aprox. 2 min was seen&#44 no sound heard and suddenly the bright light started to di
2012-10-05 21:40:00.000,koh samui (thailand,,,sphere,240.00,2 sightings of orange orbs off the coast of Koh Samui&#44 an island in Southern Thailand.
2012-10-05 21:40:00.000,koh samui (thailand,,,sphere,240.00,2 sightings of orange orbs off the coast of Koh Samui&#44 an island in Southern Thailand. ((ADDENDUM))
