MixId,MixDesc,plant,ShipDate,DeliveryWeight,Cost,Quantity,OrderDate,WeightValue
100900,ABC SLURRY,1,2017-09-28T08:50:26Z,3848.8,11.248,27.011,2017-09-27T06:50:26Z,2.19691
100900,ABC SLURRY,2,2016-06-24T10:48:19Z,3848.8,10.3976,27.011,2016-06-23T08:48:19Z,2.19691
105900,1/2 SACK ABC SLURRY,1,2016-06-16T15:05:09Z,3855.8,13.2444,27.0089,2016-06-16T09:05:09Z,2.1989
165899,6.0 SACK GROUT-NO ADMIX,2,2016-06-24T10:58:49Z,3835.905,36.0652,27.015,2016-06-23T13:58:49Z,2.19322
115930,1.5 SACK APS ENCASEMENT,1,2016-06-19T10:36:08Z,3870.8,15.61,27.0087,2016-06-18T08:36:08Z,2.20318
210920,1 SACK ABC SLURRY PUMPABLE,2,2016-06-24T10:58:59Z,3777.8,21.0008,26.8375,2016-06-23T13:58:59Z,2.17655
120100,2000 PSI-NO FLY ASH,1,2017-06-03T11:57:23Z,3971.2325,26.3529,27.0178,2017-06-03T05:57:23Z,2.23157
120930,2 SACK - APS ENCASEMENT,1,2016-06-19T10:38:33Z,3878.8,17.926,27.0053,2016-06-18T13:38:33Z,2.20545
105930,1/2 SACK 3/8 DITCH FILL,1,2016-06-24T09:17:50Z,3828.49,11.594,27.0096,2016-06-23T12:17:50Z,2.1911
140301,"4000 PSI 3/8"" COUNTER TOP MIX",1,2016-06-24T10:41:52Z,4009.64,40.1666,27.0406,2016-06-23T13:41:52Z,2.24234
145201,4500 PSI 40% 1/2 IN NO ASH,1,2016-06-24T10:42:08Z,4005.61,43.4348,27.0584,2016-06-23T08:42:08Z,2.24121
165899,6.0 SACK GROUT-NO ADMIX,1,2016-06-20T10:22:08Z,3835.905,36.0652,27.015,2016-06-19T08:22:08Z,2.19322
210920,1 SACK ABC SLURRY PUMPABLE,1,2016-06-24T10:42:44Z,3777.8,21.6616,27.0073,2016-06-23T13:42:44Z,2.17655
215900,1.5 SACK ABC SLURRY,1,2016-06-24T10:42:46Z,3859.8,16.455,27.0144,2016-06-23T13:42:46Z,2.20004
110900,1 SACK ABC SLURRY,1,2016-06-16T15:06:45Z,3862.8,15.2408,27.0055,2016-06-16T09:06:45Z,2.2009
220900,2 SACK ABC SLURRY,1,2016-06-24T10:42:52Z,3859.8,18.0176,27.0091,2016-06-23T13:42:52Z,2.20004
110930,1 SK APS ENCASEMENT,1,2016-06-16T15:07:20Z,3876.8,13.6304,27.0091,2016-06-16T09:07:20Z,2.20488
230900,3 SACK ABC SLURRY,1,2016-06-24T13:57:50Z,3861.8,20.5068,27.0103,2016-06-24T07:57:50Z,2.20061
240900,4 SACK ABC SLURRY,1,2016-06-24T13:56:24Z,3867.8,24.5356,27.0122,2016-06-24T07:56:24Z,2.20232
