Orderid,OrderDate,territoryName,YearOrdered,ExpectedDeliveryDate,CustomerPurchaseOrderNumber,PickingCompletedWhen,OrderPrice
40646,2015-01-01T01:00:00Z,Germany,2015,2015-01-02T00:00:00Z,15990,2015-01-01T11:00:00Z,13
40648,2015-01-01T02:00:00Z,Southeast,2015,2015-01-02T00:00:00Z,11073,2015-01-01T11:00:00Z,45
40662,2015-01-01T03:00:00Z,Southeast,2015,2015-01-02T00:00:00Z,12521,2015-01-01T12:00:00Z,20
40664,2015-01-01T04:00:00Z,Southeast,2015,2015-01-02T00:00:00Z,12192,2015-01-01T11:00:00Z,230
40671,2015-01-01T05:00:00Z,Central,2015,2015-01-02T00:00:00Z,13141,2015-01-01T11:00:00Z,13
40673,2015-01-01T06:00:00Z,Northwest,2015,2015-01-02T00:00:00Z,16820,2015-01-01T11:00:00Z,32
40682,2015-01-01T07:00:00Z,Central,2015,2015-01-02T00:00:00Z,17811,2015-01-01T11:00:00Z,105
40689,2015-01-01T08:00:00Z,Central,2015,2015-01-02T00:00:00Z,11786,2015-01-01T11:00:00Z,42
40696,2015-01-01T09:00:00Z,France,2015,2015-01-02T00:00:00Z,16482,2015-01-01T11:00:00Z,240
40705,2015-01-01T10:00:00Z,Germany,2015,2015-01-02T00:00:00Z,15764,2015-01-01T11:00:00Z,34
40712,2015-01-01T11:00:00Z,Northeast,2015,2015-01-02T00:00:00Z,19712,2015-01-01T11:00:00Z,108
40723,2015-01-01T12:00:00Z,Southwest,2015,2015-01-02T00:00:00Z,13044,2015-01-01T11:00:00Z,34
40737,2015-01-01T13:00:00Z,Canada,2015,2015-01-02T00:00:00Z,19885,2015-11-30T11:00:00Z,32
40748,2015-01-02T01:00:00Z,Southwest,2015,2015-01-05T00:00:00Z,14471,2015-01-02T11:00:00Z,230
40757,2015-01-02T02:00:00Z,Southwest,2015,2015-01-05T00:00:00Z,18601,2015-01-02T12:00:00Z,32
40762,2015-01-02T03:00:00Z,Canada,2015,2015-01-05T00:00:00Z,13036,2015-01-02T11:00:00Z,18
40764,2015-01-02T04:00:00Z,Northwest,2015,2015-01-05T00:00:00Z,19264,2015-01-02T11:00:00Z,35
40771,2015-01-02T05:00:00Z,Northwest,2015,2015-01-05T00:00:00Z,13875,2015-01-02T11:00:00Z,35
40773,2015-01-02T06:00:00Z,Northeast,2015,2015-01-05T00:00:00Z,13862,2015-01-02T11:00:00Z,18
40780,2015-01-02T07:00:00Z,Canada,2015,2015-01-05T00:00:00Z,17327,2015-01-02T11:00:00Z,13
40782,2015-01-02T08:00:00Z,Northwest,2015,2015-01-05T00:00:00Z,13726,2015-01-02T11:00:00Z,45
40787,2015-01-02T09:00:00Z,Central,2015,2015-01-05T00:00:00Z,16762,2015-01-06T11:00:00Z,3.5
40789,2015-01-02T10:00:00Z,Central,2015,2015-01-05T00:00:00Z,10777,2015-04-09T11:00:00Z,18
