"name","continent","code","surface_area","geosize_group"
"Afghanistan","Asia","AFG",652090,"medium"
"Netherlands","Europe","NLD",41526,"small"
"Albania","Europe","ALB",28748,"small"
"Algeria","Africa","DZA",2381740,"large"
"American Samoa","Oceania","ASM",199,"small"
"Andorra","Europe","AND",468,"small"
"Angola","Africa","AGO",1246700,"medium"
"Antigua and Barbuda","North America","ATG",442,"small"
"United Arab Emirates","Asia","ARE",83600,"small"
"Argentina","South America","ARG",2780400,"large"
"Armenia","Asia","ARM",29800,"small"
"Aruba","North America","ABW",193,"small"
"Australia","Oceania","AUS",7741220,"large"
"Azerbaijan","Asia","AZE",86600,"small"
"Bahamas","North America","BHS",13878,"small"
"Bahrain","Asia","BHR",694,"small"
"Bangladesh","Asia","BGD",143998,"small"
"Barbados","North America","BRB",430,"small"
"Belgium","Europe","BEL",30518,"small"
"Belize","North America","BLZ",22696,"small"
"Benin","Africa","BEN",112622,"small"
"Bermuda","North America","BMU",53,"small"
"Bhutan","Asia","BTN",47000,"small"
"Bolivia","South America","BOL",1098580,"medium"
"Bosnia and Herzegovina","Europe","BIH",51197,"small"
"Botswana","Africa","BWA",581730,"medium"
"Brazil","South America","BRA",8547400,"large"
"United Kingdom","Europe","GBR",242900,"small"
"Virgin Islands, British","North America","VGB",151,"small"
"Brunei","Asia","BRN",5765,"small"
"Bulgaria","Europe","BGR",110994,"small"
"Burkina Faso","Africa","BFA",274000,"small"
"Burundi","Africa","BDI",27834,"small"
"Cayman Islands","North America","CYM",264,"small"
"Chile","South America","CHL",756626,"medium"
"Costa Rica","North America","CRI",51100,"small"
"Djibouti","Africa","DJI",23200,"small"
"Dominica","North America","DMA",751,"small"
"Dominican Republic","North America","DOM",48511,"small"
"Ecuador","South America","ECU",283561,"small"
"Egypt","Africa","EGY",1001450,"medium"
"El Salvador","North America","SLV",21041,"small"
"Eritrea","Africa","ERI",117600,"small"
"Spain","Europe","ESP",505992,"medium"
"South Africa","Africa","ZAF",1221040,"medium"
"Ethiopia","Africa","ETH",1104300,"medium"
"Fiji Islands","Oceania","FJI",18274,"small"
"Philippines","Asia","PHL",300000,"small"
"Faroe Islands","Europe","FRO",1399,"small"
"Gabon","Africa","GAB",267668,"small"
"Gambia","Africa","GMB",11295,"small"
"Georgia","Asia","GEO",69700,"small"
"Ghana","Africa","GHA",238533,"small"
"Gibraltar","Europe","GIB",6,"small"
"Grenada","North America","GRD",344,"small"
"Greenland","North America","GRL",2166090,"large"
"Guam","Oceania","GUM",549,"small"
"Guatemala","North America","GTM",108889,"small"
"Guinea","Africa","GIN",245857,"small"
"Guinea-Bissau","Africa","GNB",36125,"small"
"Guyana","South America","GUY",214969,"small"
"Haiti","North America","HTI",27750,"small"
"Honduras","North America","HND",112088,"small"
"Hong Kong","Asia","HKG",1075,"small"
"Indonesia","Asia","IDN",1904570,"medium"
"India","Asia","IND",3287260,"large"
"Iraq","Asia","IRQ",438317,"medium"
"Iran","Asia","IRN",1648200,"medium"
"Ireland","Europe","IRL",70273,"small"
"Iceland","Europe","ISL",103000,"small"
"Israel","Asia","ISR",21056,"small"
"Italy","Europe","ITA",301316,"small"
"Austria","Europe","AUT",83859,"small"
"Jamaica","North America","JAM",10990,"small"
"Japan","Asia","JPN",377829,"medium"
"Yemen","Asia","YEM",527968,"medium"
"Jordan","Asia","JOR",88946,"small"
"Cambodia","Asia","KHM",181035,"small"
"Cameroon","Africa","CMR",475442,"medium"
"Canada","North America","CAN",9970610,"large"
"Cape Verde","Africa","CPV",4033,"small"
"Kazakhstan","Asia","KAZ",2724900,"large"
"Kenya","Africa","KEN",580367,"medium"
"Central African Republic","Africa","CAF",622984,"medium"
"China","Asia","CHN",9572900,"large"
"Kyrgyzstan","Asia","KGZ",199900,"small"
"Kiribati","Oceania","KIR",726,"small"
"Colombia","South America","COL",1138910,"medium"
"Comoros","Africa","COM",1862,"small"
"Congo","Africa","COG",342000,"small"
"Congo, The Democratic Republic of the","Africa","COD",2344860,"large"
"North Korea","Asia","PRK",120538,"small"
"South Korea","Asia","KOR",99434,"small"
"Greece","Europe","GRC",131626,"small"
"Croatia","Europe","HRV",56538,"small"
"Cuba","North America","CUB",110861,"small"
"Kuwait","Asia","KWT",17818,"small"
"Cyprus","Asia","CYP",9251,"small"
"Laos","Asia","LAO",236800,"small"
"Latvia","Europe","LVA",64589,"small"
"Lesotho","Africa","LSO",30355,"small"
"Lebanon","Asia","LBN",10400,"small"
"Liberia","Africa","LBR",111369,"small"
"Libya","Africa","LBY",1759540,"medium"
"Liechtenstein","Europe","LIE",160,"small"
"Lithuania","Europe","LTU",65301,"small"
"Luxembourg","Europe","LUX",2586,"small"
"Macao","Asia","MAC",18,"small"
"Madagascar","Africa","MDG",587041,"medium"
"Macedonia","Europe","MKD",25713,"small"
"Malawi","Africa","MWI",118484,"small"
"Maldives","Asia","MDV",298,"small"
"Malaysia","Asia","MYS",329758,"small"
"Mali","Africa","MLI",1240190,"medium"
"Malta","Europe","MLT",316,"small"
"Morocco","Africa","MAR",446550,"medium"
"Marshall Islands","Oceania","MHL",181,"small"
"Mauritania","Africa","MRT",1025520,"medium"
"Mauritius","Africa","MUS",2040,"small"
"Mexico","North America","MEX",1958200,"medium"
"Micronesia, Federated States of","Oceania","FSM",702,"small"
"Moldova","Europe","MDA",33851,"small"
"Monaco","Europe","MCO",1.5,"small"
"Mongolia","Asia","MNG",1566500,"medium"
"Mozambique","Africa","MOZ",801590,"medium"
"Myanmar","Asia","MMR",676578,"medium"
"Namibia","Africa","NAM",824292,"medium"
"Nauru","Oceania","NRU",21,"small"
"Nepal","Asia","NPL",147181,"small"
"Nicaragua","North America","NIC",130000,"small"
"Niger","Africa","NER",1267000,"medium"
"Nigeria","Africa","NGA",923768,"medium"
"Norway","Europe","NOR",323877,"small"
"Cote d'Ivoire","Africa","CIV",322463,"small"
"Oman","Asia","OMN",309500,"small"
"Pakistan","Asia","PAK",796095,"medium"
"Palau","Oceania","PLW",459,"small"
"Panama","North America","PAN",75517,"small"
"Papua New Guinea","Oceania","PNG",462840,"medium"
"Paraguay","South America","PRY",406752,"medium"
"Peru","South America","PER",1285220,"medium"
"Northern Mariana Islands","Oceania","MNP",464,"small"
"Portugal","Europe","PRT",91982,"small"
"Puerto Rico","North America","PRI",8875,"small"
"Poland","Europe","POL",323250,"small"
"Equatorial Guinea","Africa","GNQ",28051,"small"
"Qatar","Asia","QAT",11000,"small"
"France","Europe","FRA",551500,"medium"
"French Polynesia","Oceania","PYF",4000,"small"
"Rwanda","Africa","RWA",26338,"small"
"Sweden","Europe","SWE",449964,"medium"
"Saint Kitts and Nevis","North America","KNA",261,"small"
"Saint Lucia","North America","LCA",622,"small"
"Saint Vincent and the Grenadines","North America","VCT",388,"small"
"Germany","Europe","DEU",357022,"medium"
"Solomon Islands","Oceania","SLB",28896,"small"
"Zambia","Africa","ZMB",752618,"medium"
"Samoa","Oceania","WSM",2831,"small"
"San Marino","Europe","SMR",61,"small"
"Sao Tome and Principe","Africa","STP",964,"small"
"Saudi Arabia","Asia","SAU",2149690,"large"
"Senegal","Africa","SEN",196722,"small"
"Seychelles","Africa","SYC",455,"small"
"Sierra Leone","Africa","SLE",71740,"small"
"Singapore","Asia","SGP",618,"small"
"Slovakia","Europe","SVK",49012,"small"
"Slovenia","Europe","SVN",20256,"small"
"Somalia","Africa","SOM",637657,"medium"
"Sri Lanka","Asia","LKA",65610,"small"
"Sudan","Africa","SDN",2505810,"large"
"Finland","Europe","FIN",338145,"small"
"Suriname","South America","SUR",163265,"small"
"Swaziland","Africa","SWZ",17364,"small"
"Switzerland","Europe","CHE",41284,"small"
"Syria","Asia","SYR",185180,"small"
"Tajikistan","Asia","TJK",143100,"small"
"Tanzania","Africa","TZA",883749,"medium"
"Denmark","Europe","DNK",43094,"small"
"Thailand","Asia","THA",513115,"medium"
"Togo","Africa","TGO",56785,"small"
"Tonga","Oceania","TON",650,"small"
"Trinidad and Tobago","North America","TTO",5130,"small"
"Chad","Africa","TCD",1284000,"medium"
"Czech Republic","Europe","CZE",78866,"small"
"Tunisia","Africa","TUN",163610,"small"
"Turkey","Asia","TUR",774815,"medium"
"Turkmenistan","Asia","TKM",488100,"medium"
"Turks and Caicos Islands","North America","TCA",430,"small"
"Tuvalu","Oceania","TUV",26,"small"
"Uganda","Africa","UGA",241038,"small"
"Ukraine","Europe","UKR",603700,"medium"
"Hungary","Europe","HUN",93030,"small"
"Uruguay","South America","URY",175016,"small"
"New Caledonia","Oceania","NCL",18575,"small"
"New Zealand","Oceania","NZL",270534,"small"
"Uzbekistan","Asia","UZB",447400,"medium"
"Belarus","Europe","BLR",207600,"small"
"Vanuatu","Oceania","VUT",12189,"small"
"Venezuela","South America","VEN",912050,"medium"
"Russian Federation","Europe","RUS",17075400,"large"
"Vietnam","Asia","VNM",331689,"small"
"Estonia","Europe","EST",45227,"small"
"United States","North America","USA",9363520,"large"
"Virgin Islands, U.S.","North America","VIR",347,"small"
"Zimbabwe","Africa","ZWE",390757,"medium"
"Palestine","Asia","PSE",6257,"small"
