"code","year","income_group","gross_savings"
"AFG",2010,"Low income",37.133
"AGO",2010,"Upper middle income",23.534
"ALB",2010,"Upper middle income",20.011
"ARE",2010,"High income",27.073
"ARG",2010,"Upper middle income",17.361
"ARM",2010,"Lower middle income",15.797
"ATG",2010,"High income",13.398
"AUS",2010,"High income",23.584
"AUT",2010,"High income",25.521
"AZE",2010,"Upper middle income",46.567
"BDI",2010,"Low income",3.723
"BEL",2010,"High income",24.456
"BEN",2010,"Low income",14.905
"BFA",2010,"Low income",15.788
"BGD",2010,"Lower middle income",29.141
"BGR",2010,"Upper middle income",20.845
"BHR",2010,"High income",36.206
"BHS",2010,"High income",15.141
"BIH",2010,"Upper middle income",10.115
"BLR",2010,"Upper middle income",26.186
"BLZ",2010,"Upper middle income",10.33
"BOL",2010,"Lower middle income",24.969
"BRA",2010,"Upper middle income",18.368
"BRB",2010,"High income",8.12
"BRN",2010,"High income",
"BTN",2010,"Lower middle income",44.674
"BWA",2010,"Upper middle income",32.162
"CAF",2010,"Low income",4.115
"CAN",2010,"High income",19.898
"CHE",2010,"High income",38.881
"CHL",2010,"High income",24.839
"CHN",2010,"Upper middle income",51.802
"CIV",2010,"Lower middle income",16.765
"CMR",2010,"Lower middle income",17.524
"COD",2010,"Low income",15.574
"COG",2010,"Lower middle income",27.651
"COL",2010,"Upper middle income",19.107
"COM",2010,"Low income",15.22
"CPV",2010,"Lower middle income",25.257
"CRI",2010,"Upper middle income",16.489
"CYP",2010,"High income",12.507
"CZE",2010,"High income",23.588
"DEU",2010,"High income",25.241
"DJI",2010,"Lower middle income",24.089
"DMA",2010,"Upper middle income",2.462
"DNK",2010,"High income",24.639
"DOM",2010,"Upper middle income",18.745
"DZA",2010,"Upper middle income",49.869
"ECU",2010,"Upper middle income",25.757
"EGY",2010,"Lower middle income",19.421
"ERI",2010,"Low income",-9.257
"ESP",2010,"High income",19.628
"EST",2010,"High income",23.087
"ETH",2010,"Low income",24.494
"FIN",2010,"High income",22.843
"FJI",2010,"Upper middle income",
"FRA",2010,"High income",21.075
"FSM",2010,"Lower middle income",
"GAB",2010,"Upper middle income",41.009
"GBR",2010,"High income",13.233
"GEO",2010,"Upper middle income",11.64
"GHA",2010,"Lower middle income",17.276
"GIN",2010,"Low income",0.135
"GMB",2010,"Low income",5.026
"GNB",2010,"Low income",-2.057
"GNQ",2010,"Upper middle income",41.231
"GRC",2010,"High income",5.664
"GRD",2010,"Upper middle income",-1.702
"GTM",2010,"Lower middle income",12.575
"GUY",2010,"Upper middle income",7.88
"HKG",2010,"High income",30.892
"HND",2010,"Lower middle income",17.547
"HRV",2010,"High income",20.278
"HTI",2010,"Low income",23.869
"HUN",2010,"High income",20.992
"IDN",2010,"Lower middle income",33.582
"IND",2010,"Lower middle income",33.689
"IRL",2010,"High income",16.039
"IRN",2010,"Upper middle income",41.522
"IRQ",2010,"Upper middle income",23.736
"ISL",2010,"High income",7.256
