"pop_id","country_code","year","fertility_rate","life_expectancy","size"
20,"ABW",2010,1.704,74.9535365853659,101597
19,"ABW",2015,1.647,75.5735853658537,103889
2,"AFG",2010,5.746,58.9708292682927,27962207
1,"AFG",2015,4.653,60.7171707317073,32526562
12,"AGO",2010,6.416,50.6541707317073,21219954
11,"AGO",2015,5.996,52.6660975609756,25021974
4,"ALB",2010,1.663,77.0369512195122,2913021
3,"ALB",2015,1.793,78.0144634146342,2889167
10,"AND",2010,1.27,,84419
9,"AND",2015,,,70473
409,"ARE",2010,1.868,76.675243902439,8329453
408,"ARE",2015,1.767,77.541243902439,9156963
16,"ARG",2010,2.37,75.4849756097561,41222875
15,"ARG",2015,2.308,76.3342195121951,43416755
18,"ARM",2010,1.648,74.2263414634146,2963496
17,"ARM",2015,1.517,74.7971219512195,3017712
8,"ASM",2010,,,55636
7,"ASM",2015,,,55538
14,"ATG",2010,2.13,75.3087804878049,87233
13,"ATG",2015,2.063,76.1002195121951,91818
22,"AUS",2010,1.928,81.6951219512195,22031750
21,"AUS",2015,1.833,82.4512195121951,23789752
24,"AUT",2010,1.44,80.5804878048781,8363404
23,"AUT",2015,1.47,81.8439024390244,8638366
26,"AZE",2010,1.92,70.4513170731707,9054332
25,"AZE",2015,1.97,70.8487804878049,9649341
64,"BDI",2010,6.302,54.8291951219512,9461117
63,"BDI",2015,5.863,57.1070487804878,11178921
38,"BEL",2010,1.86,80.1829268292683,10895586
37,"BEL",2015,1.74,81.2878048780488,11249420
42,"BEN",2010,5.094,58.7297073170732,9509798
41,"BEN",2015,4.688,59.7207073170732,10879829
62,"BFA",2010,5.867,57.0513902439024,15632066
61,"BFA",2015,5.437,58.9312926829268,18105570
32,"BGD",2010,2.332,70.0802926829268,151616777
31,"BGD",2015,2.144,72.0011951219512,160995642
60,"BGR",2010,1.57,73.5121951219512,7395599
59,"BGR",2015,1.53,74.4658536585366,7177991
30,"BHR",2010,2.142,76.1275609756098,1261319
29,"BHR",2015,2.035,76.8190975609756,1377237
28,"BHS",2010,1.904,74.5923902439024,360830
27,"BHS",2015,1.861,75.3968292682927,388019
50,"BIH",2010,1.288,75.8076829268293,3835258
49,"BIH",2015,1.253,76.5885853658537,3810416
36,"BLR",2010,1.494,70.4048780487805,9490583
35,"BLR",2015,1.724,73.6243902439025,9489616
40,"BLZ",2010,2.714,69.7820487804878,321609
39,"BLZ",2015,2.546,70.1923658536585,359287
44,"BMU",2010,1.76,79.2885365853658,65124
43,"BMU",2015,1.62,81.0121951219512,65235
48,"BOL",2010,3.2,66.407756097561,9918245
47,"BOL",2015,2.923,68.7396097560976,10724705
